Book Id,Title,Author,Author l-f,ISBN,ISBN13,Average Rating,Number of Pages
25179,Blankets,Craig Thompson,"Thompson, Craig",1891830430,9781891830433,4.05,582
156534,"Y: The Last Man, Vol. 1: Unmanned",Brian K. Vaughan,"Vaughan, Brian K.",1563899809,9781563899805,4.08,130
15704307,"Saga, Volume 1",Brian K. Vaughan,"Vaughan, Brian K.",1607066017,9781607066019,4.17,160
96358,Batman: The Killing Joke,Alan Moore,"Moore, Alan",0930289455,9780930289454,4.36,50
59960,Batman: The Dark Knight Returns,Frank Miller,"Miller, Frank",156389341X,9781563893414,4.26,197
23754,"The Sandman, Vol. 1: Preludes & Nocturnes",Neil Gaiman,"Gaiman, Neil",1563892278,9781563892271,4.25,233
991197,The Complete Persepolis,Marjane Satrapi,"Satrapi, Marjane",0375714839,9780375714832,4.39,341
5805,V for Vendetta,Alan Moore,"Moore, Alan",1401207928,9781401207922,4.26,296
15195,The Complete Maus,Art Spiegelman,"Spiegelman, Art",0141014083,9780141014081,4.57,296
472331,Watchmen,Alan Moore,"Moore, Alan",0930289234,9780930289232,4.38,416
